,surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
93,Craney,Jude,M,CU_3997849,148.14,31.833,05-23-18,Senior Editor,0,1.0,1,,,A
94,Lebrane,Maiya ,F,CU_9734302,113.7,59.871,11-03-18,,0,1.0,1,,A,A
95,Haggberg,Maude,F,CU_3842206,108.77,55.266,04-08-18,Office Assistant II,0,1.0,1,,,A
96,Souliere,Karl,M,CU_2146464,196.06,73.996,01-09-18,Senior Editor,0,1.0,1,,A,A
97,Moehrle,Emre ,M,CU_8200353,134.41,,06-30-18,Senior Sales Associate,1,1.0,1,,,A
98,Chua,Rory,M,CU_8784028,140.37,48.914,10-18-18,,1,,1,,,A
99,Delano,Aniyah ,F,CU_1175715,47.24,30.792,01-10-18,Office Assistant II,0,1.0,1,,,A
100,Montefusco,Theo ,M,CU_8927396,150.07,37.512,09-02-18,Help Desk Operator,0,1.0,1,,A,A
101,Condroski,Alejandro,M,CU_7530660,118.58,45.05,07-07-18,Human Resources Manager,0,1.0,1,,,A
102,Ciccolini,Ryan,M,CU_5263528,118.35,56.226,01-24-18,Human Resources Manager,1,1.0,1,,A,A
103,Adames,Stefan,M,CU_1411242,130.79,,08-02-18,Senior Editor,0,1.0,1,,A,A
104,Greider,Vera ,F,CU_6938796,196.11,56.156,09-29-18,Analyst Programmer,1,1.0,1,,A,A
105,Heyn,Pam,F,CU_1276076,128.24,30.383,07-30-18,Senior Sales Associate,0,1.0,1,,A,A
106,Smolinski,Effie,F,CU_6594736,223.8,57.884,11-24-18,Office Assistant II,0,1.0,1,,A,A
107,Camargo,Jaeden ,M,CU_3422385,139.8,55.574,04-23-18,Help Desk Operator,0,1.0,1,,A,A
108,Dymond,Jackson ,M,CU_4968626,150.7,57.644,09-24-18,Help Desk Operator,0,1.0,1,,A,A
109,Rossean,Carl ,M,CU_5451954,227.75,,12-12-18,Senior Sales Associate,0,1.0,1,,A,A
110,Newgard,Randall,M,CU_7930035,423.54,43.864,03-23-18,Senior Editor,1,,1,,,A
111,Gelder,Lyman,M,CU_5501109,136.68,,09-17-18,,0,1.0,1,,A,A
112,Gensel,Emile,M,CU_3629240,135.14,57.868,09-04-18,Senior Editor,0,1.0,1,,A,A
113,Reager,Josiah,M,CU_4780216,99.56,45.208,06-05-18,Junior Executive,1,1.0,1,,A,A
114,Hentrich,Hamza ,M,CU_6310072,57.09,28.649,08-20-18,Sales Associate,0,1.0,1,,,A
115,Alvirez,Vincent ,M,CU_4200636,125.5,55.281,07-14-18,Senior Sales Associate,0,1.0,1,,,A
116,Senteno,Andre ,M,CU_5339324,182.24,,03-26-18,Senior Editor,0,1.0,1,,,A
117,Huckaby,Finnley ,M,CU_2445502,166.93,41.36,04-25-18,Senior Editor,0,1.0,1,,A,A
118,Ripke,Robby,M,CU_5468351,175.05,55.77,02-10-18,VP Product Management,1,,1,,A,A
119,Schlather,Russ,M,CU_6353086,145.13,34.442,05-16-18,Help Desk Operator,1,1.0,1,,A,A
120,Kennaugh,Ted ,M,CU_4780221,323.71,28.96,06-16-18,,0,1.0,1,,,A
121,Khubba,Eesa ,M,CU_9826499,151.86,32.765,12-14-18,Junior Executive,0,1.0,1,,,A
122,Tollefson,Reyna,F,CU_1513670,241.71,21.889,06-01-18,Senior Sales Associate,0,1.0,1,,,A
123,Uzelac,Cade ,M,CU_4696264,135.93,49.503,05-13-18,Senior Sales Associate,0,1.0,1,,A,A
124,Koehne,Baxter ,M,CU_7979209,171.95,,07-22-18,Senior Sales Associate,0,1.0,1,,A,A
125,Vaccarello,Judson,M,CU_8671435,304.4,,06-09-18,Human Resources Manager,0,1.0,1,,A,A
126,Fennewald,Herb,M,CU_7065805,244.47,39.492,08-05-18,Information Systems Manager,0,,1,,,A
127,Maki,Lawrence,M,CU_7815374,157.11,,10-08-18,Office Assistant II,0,1.0,1,,,A
128,Tubville,Mitch,M,CU_4606163,77.49,38.957,01-28-18,Senior Sales Associate,0,1.0,1,,,A
129,Parikh,Mikhail ,M,CU_9085139,138.37,56.542,07-10-18,Senior Sales Associate,0,1.0,1,,A,A
130,Cioppa,Carlos ,M,CU_1874133,89.36,62.521,05-21-18,Information Systems Manager,0,1.0,1,,A,A
131,Garia,Carrie,F,CU_4849878,123.95,55.139,02-18-18,Senior Editor,1,1.0,1,,A,A
132,Kolden,Avni ,F,CU_9595093,166.13,32.292,05-10-18,,0,1.0,1,,A,A
133,Granzella,Dirk,M,CU_1620184,173.7,49.689,03-09-18,Office Assistant II,0,1.0,1,,A,A
134,Revier,Maia ,F,CU_4239578,152.72,23.588,12-11-18,Help Desk Operator,1,1.0,1,,A,A
135,Truss,Ladonna,F,CU_5914848,167.32,,01-03-18,Senior Editor,0,1.0,1,,,A
136,Wearrien,Jeff,M,CU_1855713,139.23,34.943,12-19-18,Senior Editor,1,1.0,1,,,A
137,Gornikiewicz,Stacy,M,CU_1634530,126.21,37.073,07-16-18,Junior Executive,1,1.0,1,,,A
138,Marflak,Angelina,F,CU_3113187,168.43,62.118,11-08-18,Office Assistant II,0,,1,,A,A
139,Tauer,Zoha ,F,CU_1605870,161.8,59.463,10-04-18,Senior Sales Associate,0,1.0,1,,,A
140,Sartin,Maryanne,F,CU_5896434,139.07,56.576,12-22-18,Director of Sales,0,1.0,1,,,A
141,Cothron,Wallace,M,CU_8143092,120.24,37.749,02-25-18,Senior Editor,0,1.0,1,,,A
142,Chell,Wilburn,M,CU_2101496,154.65,43.597,10-11-18,Office Assistant II,0,1.0,1,,,A
143,Bedward,Edna,F,CU_3664122,103.91,21.174,08-06-18,Senior Sales Associate,0,,1,,A,A
144,Sauage,Kyla ,F,CU_3008764,145.02,49.579,12-17-18,VP Product Management,0,1.0,1,,,A
145,Moxley,Rudy,M,CU_3248385,153.36,40.778,02-13-18,,0,1.0,1,,,A
146,Hakimi,Jeromy,M,CU_4243714,165.15,57.957,03-17-18,Senior Sales Associate,0,1.0,1,,A,A
147,Legrand,Christopher ,M,CU_1038597,117.05,,02-26-18,Help Desk Operator,0,1.0,1,,A,A
148,Quartucci,Russell,M,CU_4866309,333.32,74.232,03-12-18,Research Assistant III,0,1.0,1,,A,A
149,Ross,Frances,M,CU_1005838,503.04,27.478,07-19-18,Senior Editor,0,1.0,1,,A,A
150,Hardon,Kyan ,M,CU_1708303,137.49,55.434,07-08-18,Information Systems Manager,0,,1,,,A
151,Fowkes,Bret,M,CU_6869273,67.85,24.725,04-11-18,Sales Associate,1,1.0,1,,,A
152,Fidel,Christina ,F,CU_7878938,507.19,57.479,10-27-18,Senior Sales Associate,0,1.0,1,,A,A
153,Spettel,Amos,M,CU_3565855,147.19,64.478,08-31-18,Senior Editor,0,1.0,1,,A,A
154,Hamberry,Ava-Grace ,F,CU_6783264,105.15,30.256,10-20-18,Senior Sales Associate,1,,1,,A,A
155,Kolppa,King,M,CU_3266848,141.09,44.65,02-10-18,Senior Editor,0,1.0,1,,,A
156,Kull,Caitlin ,F,CU_9955618,304.65,29.13,04-22-18,Senior Sales Associate,0,,1,,A,A
157,Liddy,Sufyan ,M,CU_3418403,40.37,41.932,01-04-18,Senior Sales Associate,1,1.0,1,,,A
158,Wadman,Lidia,F,CU_4790567,695.5,53.229,11-28-18,Senior Editor,0,1.0,1,,A,A
159,Redford,Omar ,M,CU_2208040,136.1,54.935,01-12-18,Analyst Programmer,0,,1,,A,A
160,Gotschall,Samantha ,F,CU_7614759,224.58,58.085,07-01-18,Office Assistant II,0,1.0,1,,A,A
161,Nozicka,Dev ,M,CU_2023722,120.8,55.238,01-25-18,Office Assistant II,0,1.0,1,,A,A
162,Fouse,Josef ,M,CU_8685866,153.55,56.598,05-13-18,Senior Sales Associate,0,1.0,1,,A,A
163,Garthee,Augustine,M,CU_9857324,224.29,55.564,06-13-18,Junior Executive,0,1.0,1,,A,A
164,Goldie,Abel ,M,CU_2883882,129.05,,12-14-18,Human Resources Assistant IV,1,,1,,A,A
165,Unglaub,Sumayyah ,F,CU_6193454,413.78,25.141,06-20-18,VP Product Management,0,,1,,A,A
166,Morgret,Sylvie ,F,CU_7862575,165.0,35.624,02-16-18,VP Product Management,0,1.0,1,,,A
167,Bargstadt,Yvonne,F,CU_3125553,93.7,53.376,04-04-18,Sales Associate,0,1.0,1,,A,A
168,Bode,Bert,M,CU_8325426,201.91,36.137,08-10-18,Help Desk Operator,0,1.0,1,,A,A
169,Yerdon,Laurence,M,CU_9742646,309.88,58.466,04-03-18,VP Product Management,0,,1,,A,A
170,Ajose,Daniel,M,CU_5038394,214.56,39.329,08-27-18,,1,1.0,1,,,A
171,Blackstar,Esteban,M,CU_6764858,177.95,31.463,02-21-18,Senior Editor,1,1.0,1,,A,A
172,Roghair,Tomos ,M,CU_4239674,132.1,43.254,11-13-18,Office Assistant II,0,1.0,1,,,A
173,Kliethermes,Reba,F,CU_1567037,208.19,42.516,01-16-18,VP Product Management,0,1.0,1,,A,A
174,Voisin,Aleeza ,F,CU_6975805,170.01,67.173,02-05-18,Sales Associate,0,1.0,1,,A,A
175,Parhan,Pablo,M,CU_1147199,86.29,38.342,09-17-18,,0,1.0,1,,A,A
176,Maobi,Jessie,F,CU_2113860,178.25,55.807,02-13-18,Help Desk Operator,0,1.0,1,,A,A
177,Tarone,Ray ,M,CU_5765444,130.66,65.473,11-16-18,Senior Editor,0,1.0,1,,,A
178,Kansas,Pete,M,CU_4718916,117.64,37.501,07-16-18,Senior Sales Associate,0,1.0,1,,A,A
179,Swinney,Felecia,F,CU_1423690,134.91,42.35,10-09-18,Senior Editor,0,1.0,1,,A,A
180,Sehl,Sebastien ,M,CU_4381003,238.55,,11-12-18,Senior Sales Associate,1,1.0,1,,,A
181,Guerera,Dulcie ,F,CU_4399436,315.05,36.168,06-17-18,Human Resources Assistant IV,0,1.0,1,,A,A
182,Tashjian,Niall ,M,CU_1253709,134.58,,02-15-18,Office Assistant II,1,1.0,1,,A,A
183,Gutreuter,Bessie,F,CU_2861390,126.99,25.212,10-19-18,Research Assistant III,0,,1,,A,A
184,Necochea,Frederick,M,CU_4262223,127.79,38.904,12-07-18,Analyst Programmer,0,1.0,1,,,A
185,Creson,Eddy,M,CU_1149262,157.82,58.427,06-21-18,Senior Editor,1,1.0,1,,,A
186,Rowald,Andrei ,M,CU_9638235,554.71,42.625,02-15-18,Human Resources Assistant IV,1,1.0,1,,A,A
187,Fludd,Edward,M,CU_6469984,143.65,57.003,03-07-18,,0,,1,,A,A
188,Abbitt,Kye ,M,CU_1141090,148.44,60.331,09-05-18,Sales Associate,1,1.0,1,,,A
189,Koon,Corina,F,CU_5630307,144.5,47.63,04-01-18,Senior Sales Associate,0,,1,,A,A
190,Tomasek,Sheikh ,M,CU_8526179,127.99,54.985,08-08-18,Office Assistant II,0,1.0,1,,A,A
191,Mahajan,Deirdre,F,CU_2429295,149.09,35.176,08-02-18,,0,1.0,1,,A,A
192,Morrall,Mavis,F,CU_2322800,107.67,,11-30-18,Senior Sales Associate,0,1.0,1,,,A
193,Condict,Mohammed,M,CU_2945391,580.03,,03-21-18,Senior Sales Associate,0,,1,,A,A
194,Hewgley,Wilbur,M,CU_6826357,136.62,52.653,10-22-18,Office Assistant II,1,1.0,1,,A,A
195,Scurry,Dan,M,CU_7264629,234.87,67.833,03-25-18,Help Desk Operator,0,1.0,1,,A,A
196,Donayre,Lucille,F,CU_4542839,143.42,56.693,04-29-18,Senior Sales Associate,1,1.0,1,,,A
197,Margison,Shad,M,CU_1900919,153.99,,07-19-18,Senior Editor,0,1.0,1,,,A
198,Sourlis,Georgette,F,CU_5814649,102.28,28.525,12-20-18,Office Assistant II,0,1.0,1,,,A
199,Rachar,Sonny,M,CU_3516792,147.01,57.776,02-28-18,Senior Sales Associate,0,1.0,1,,,A
200,Hohenbrink,Stephanie,F,CU_2978173,114.6,58.04,07-23-18,Office Assistant II,0,,1,,,A
201,Betschart,Hyman,M,CU_4503934,178.29,22.295,07-01-18,Senior Sales Associate,0,1.0,1,,,A
202,Sessler,Ayan ,M,CU_3056000,173.54,41.292,06-15-18,,0,,1,,A,A
203,Corea,Justin ,M,CU_8724870,168.54,69.843,12-29-18,Office Assistant II,0,1.0,1,,,A
204,Pavek,Lowell,M,CU_6986126,120.57,52.952,09-25-18,Office Assistant II,0,1.0,1,,A,A
205,Mozee,Inaya ,F,CU_5341585,161.67,,05-03-18,Director of Sales,0,1.0,1,,,C
206,Fraklin,April ,F,CU_4403606,187.78,59.29,09-03-18,Help Desk Operator,0,1.0,1,,A,A
207,Brasington,Henry ,M,CU_2531736,60.99,32.228,02-03-18,Human Resources Manager,0,1.0,1,,,A
208,Bodman,Susannah ,F,CU_4004250,48.79,,06-26-18,Office Assistant II,0,1.0,1,,,A
209,Davda,Zayna ,F,CU_7045533,168.53,35.9,04-10-18,Human Resources Assistant IV,0,1.0,1,,,A
210,Golebiewski,Taran ,M,CU_1382815,108.04,27.494,08-02-18,Senior Editor,0,1.0,1,,,A
211,Buchner,Gillian,F,CU_1880483,245.7,28.314,07-15-18,Office Assistant II,0,1.0,1,,,A
212,Wojciechowski,Morgan,M,CU_4026790,502.83,47.19,07-22-18,Junior Executive,0,1.0,1,,,A
213,Bonzo,Safwan ,M,CU_1540522,145.59,37.349,11-11-18,Analyst Programmer,0,1.0,1,,A,A
214,Dushaj,Raleigh,M,CU_5712299,186.06,35.587,08-09-18,Human Resources Manager,0,,1,,A,A
215,Swiat,Kathie,F,CU_9656750,213.5,59.136,11-16-18,,0,,1,,,A
216,Massoud,Luther,M,CU_1667502,145.4,57.864,09-01-18,Senior Sales Associate,0,,1,,A,A
217,Mayr,Jasper ,M,CU_9226671,137.93,45.238,09-13-18,Senior Sales Associate,0,1.0,1,,A,A
218,Forsman,Dylan,M,CU_4061617,44.11,55.971,02-12-18,Help Desk Operator,0,1.0,1,,,A
219,Skenandore,Otis,M,CU_4139443,120.04,62.525,03-08-18,Senior Editor,0,1.0,1,,,A
220,Wonsik,Lori,F,CU_6336950,192.83,65.169,12-21-18,Help Desk Operator,0,,1,,A,A
221,Cruson,Naima ,F,CU_8821174,174.93,48.043,07-16-18,Sales Associate,0,1.0,1,,,A
222,Kasprak,Elliott ,M,CU_4891064,159.45,54.505,08-22-18,Senior Sales Associate,0,1.0,1,,,A
223,Orazine,Rueben,M,CU_2279865,146.45,27.62,09-05-18,Help Desk Operator,1,1.0,1,,,A
224,Bissegger,Patrick,M,CU_8487355,110.75,28.363,12-03-18,Assistant Professor,0,,1,,,A
225,Popovich,Fanny,F,CU_2126268,285.14,56.938,09-01-18,Senior Sales Associate,0,1.0,1,,A,A
226,Issa,Ines ,F,CU_8069565,152.79,29.547,08-16-18,Sales Associate,0,1.0,1,,,A
227,Dammad,Eshal ,F,CU_4813249,118.57,52.108,05-01-18,Senior Sales Associate,0,1.0,1,,A,A
228,Edmonds,Wesley ,M,CU_5233091,92.16,22.143,04-08-18,Senior Editor,0,,1,,A,A
229,Boston,Layton ,M,CU_2070980,356.16,68.241,08-25-18,Senior Sales Associate,0,1.0,1,,A,A
230,Kern,Ayomide ,M,CU_2009540,208.52,28.828,05-24-18,Office Assistant II,1,1.0,1,,,A
231,Nevwirth,Annie,F,CU_6373829,98.06,59.59,05-19-18,Human Resources Assistant IV,0,1.0,1,,A,A
232,Steinhaus,Gus,M,CU_2908613,98.25,54.302,06-10-18,Senior Sales Associate,0,1.0,1,,,A
233,Houten,Nana ,M,CU_1702342,357.15,50.27,11-10-18,Sales Associate,0,1.0,1,,A,A
234,Arntson,Robyn,F,CU_5929416,347.45,24.953,10-18-18,Office Assistant II,1,,1,,A,A
235,Bichrest,Holly,F,CU_9834951,163.39,54.183,04-05-18,Senior Editor,1,,1,,A,A
236,Ordon,Ollie,M,CU_8507851,119.58,31.758,11-21-18,Senior Sales Associate,0,1.0,1,,,A
237,Rouff,Kenny ,M,CU_6674885,140.53,34.923,02-07-18,Senior Sales Associate,1,1.0,1,,,A
238,Solina,Antione,M,CU_1679821,260.73,55.946,11-29-18,Office Assistant II,0,1.0,1,,,A
239,Sharrard,Antwan,M,CU_9996750,80.59,63.228,07-01-18,Research Assistant III,1,1.0,1,,A,A
240,Bunn,Erika ,F,CU_7631315,158.31,58.869,08-27-18,Senior Sales Associate,1,1.0,1,,,A
241,Mcloone,Troy ,M,CU_2224595,89.55,33.315,11-07-18,Senior Editor,1,1.0,1,,A,A
242,Pilchowski,Clement,M,CU_3267032,118.97,33.767,05-19-18,VP Product Management,0,1.0,1,,A,A
243,Rides,Farah ,F,CU_7307739,664.4,53.379,10-30-18,Senior Editor,1,1.0,1,,,A
244,Gasperini,Darla,F,CU_7686621,143.6,39.93,08-24-18,Senior Editor,0,,1,,,A
245,Junker,Karina,F,CU_7545314,299.66,25.14,02-06-18,Human Resources Manager,0,1.0,1,,,A
246,Paneto,Ahmad,M,CU_8151525,145.25,60.27,06-18-18,Help Desk Operator,0,1.0,1,,A,A
247,Hoak,Leta,F,CU_4805093,243.83,55.305,12-06-18,Office Assistant II,0,1.0,1,,A,A
248,Leuasseur,Randal,M,CU_6238693,139.41,,12-06-18,Senior Sales Associate,0,1.0,1,,,A
249,Sleighter,Renae ,F,CU_9869797,154.53,,02-13-18,VP Product Management,0,1.0,1,,A,A
250,Devargas,Macy ,F,CU_5761514,91.91,59.422,12-09-18,Senior Editor,0,,1,,A,A
251,Mormann,Cecilia ,F,CU_6535659,171.22,37.659,12-20-18,,0,1.0,1,,,A
252,Crotts,Jeffery,M,CU_2310637,230.54,58.208,02-20-18,,0,1.0,1,,,A
