surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
Camey,Martin ,M,CU_3784746,128.75,32.11,07-20-18,Software Engineer IV,0.0,1.0,1,,A,A
Comden,Aled ,M,CU_4677683,191.99,59.26,06-10-18,Social Worker,0.0,1.0,1,,A,A
Serum,Antonio,M,CU_1065011,166.22,,01-27-18,Payment Adjustment Coordinator,,,1,,,A
Fenk,Jana ,F,CU_5324853,577.55,37.642,03-07-18,Social Worker,,1.0,1,,A,A
Vandal,Lillian ,F,CU_7921718,220.67,58.222,03-09-18,Computer Systems Analyst II,0.0,1.0,1,,,A
Bradigan,Sydney ,F,CU_8175667,119.87,28.703,09-07-18,Safety Technician IV,0.0,1.0,1,,,A
Zirbel,Igor ,M,CU_2940986,149.24,42.945,11-25-18,Data Coordiator,0.0,,1,,,A
Gillette,Calum ,M,CU_5029947,310.27,37.166,03-03-18,Assistant Manager,0.0,1.0,1,,A,A
Borycz,Bertram,M,CU_3121213,161.13,35.814,08-03-18,Assistant Manager,0.0,,1,,A,A
Torrent,Ester,F,CU_7847999,77.03,52.854,05-17-18,Software Engineer IV,,1.0,1,,,A
Lynah,Shaurya ,M,CU_1818687,93.17,50.285,02-27-18,Information Systems Manager,0.0,1.0,1,,A,A
Dangler,Derrick,M,CU_9470019,60.94,72.179,03-30-18,Data Coordiator,1.0,1.0,1,,A,A
Weigman,Laurence,M,CU_2834499,78.53,40.001,01-31-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Mueller,Ericka,F,CU_5881924,120.97,36.097,01-25-18,Senior Sales Associate,,1.0,1,,,A
Via,Alexander ,M,CU_5464133,293.26,26.639,11-22-18,Statistician III,0.0,1.0,1,,A,A
Bazinet,Kayan ,M,CU_5775432,122.63,55.75,01-15-18,Assistant Manager,0.0,1.0,1,,A,A
Postin,Delbert,M,CU_8577097,107.03,27.764,12-05-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Castruita,Mohsin ,M,CU_4792397,178.44,78.7,11-26-18,Sales Associate,0.0,1.0,1,,A,A
Nghiem,Amaan ,M,CU_1646670,30.45,,04-19-18,,,1.0,1,,A,A
Macedo,Jaden ,M,CU_9003088,151.42,59.33,11-24-18,Assistant Manager,0.0,1.0,1,,A,A
Ellenbogen,Dewitt,M,CU_8757330,129.98,55.106,06-08-18,Safety Technician IV,0.0,1.0,1,,A,A
Wykes,Nathanial,M,CU_5972053,170.32,21.197,07-11-18,Senior Sales Associate,1.0,1.0,1,,,A
Maisenbacher,Dorothea,F,CU_3924053,121.02,45.43,02-12-18,Senior Sales Associate,0.0,,1,,A,A
Zajicek,Dhruv ,M,CU_9429077,208.12,,04-06-18,Software Engineer IV,,1.0,1,,,A
Pring,Kenneth ,M,CU_3727449,139.48,36.945,11-06-18,Information Systems Manager,0.0,1.0,1,,,A
Kicklighter,Fergus ,M,CU_5521498,124.51,42.02,06-01-18,Assistant Manager,0.0,,1,,,A
Redline,Makayla ,F,CU_4735069,204.48,89.602,04-15-18,Software Engineer IV,,1.0,1,,,A
Furkin,Milosz ,M,CU_2187358,119.11,,04-05-18,Payment Adjustment Coordinator,1.0,1.0,1,,,A
Stickrod,Chauncey,M,CU_2908255,145.64,54.823,01-26-18,,0.0,1.0,1,,A,A
Adduci,Lucile,F,CU_4800607,141.76,41.145,02-18-18,Software Engineer IV,,1.0,1,,A,A
Wallberg,Tiffany ,F,CU_9953378,152.8,62.945,03-18-18,Assistant Manager,1.0,1.0,1,,A,A
Wilmarth,Eusebio,M,CU_7659621,121.9,35.643,07-08-18,Assistant Manager,,1.0,1,,A,A
Leheny,Katie,F,CU_4046950,371.59,,05-26-18,Data Coordiator,1.0,,1,,,A
Classen,Graig,M,CU_7618663,281.78,68.699,06-14-18,,,1.0,1,,,A
Buchko,Filiberto,M,CU_3309670,141.89,42.866,02-14-18,Statistician III,,1.0,1,,,A
Mumm,Arisha ,F,CU_1433706,61.06,62.133,08-12-18,Data Coordiator,0.0,1.0,1,,A,A
Ziter,Ewan ,M,CU_1441898,128.26,,09-13-18,Software Engineer IV,,1.0,1,,,A
Haberman,Ameerah ,F,CU_5021805,153.79,29.857,10-05-18,Design Engineer,0.0,1.0,1,,A,A
Goyen,Aadam ,M,CU_7921775,142.14,53.288,11-29-18,Assistant Manager,,,1,,A,A
Bubb,Shayaan ,M,CU_8372335,130.2,55.854,02-16-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Vannorsdell,Kris,M,CU_7340145,165.7,61.303,08-15-18,Software Engineer IV,,1.0,1,,,A
Vanhofwegen,Jesse,M,CU_5210223,172.21,37.886,05-23-18,,,,1,,,A
Ducey,Gail,F,CU_6946937,190.09,58.222,09-03-18,Information Systems Manager,,1.0,1,,A,A
Beetley,Huda ,F,CU_4776058,95.46,55.882,10-03-18,Information Systems Manager,0.0,1.0,1,,A,A
Merli,Dewi ,M,CU_1065083,117.27,,01-22-18,Assistant Manager,1.0,1.0,1,,A,A
Badalamenti,Jermaine,M,CU_7839869,190.4,40.51,07-24-18,Software Engineer IV,0.0,1.0,1,,,A
Sanislo,Alec ,M,CU_5365885,118.01,,07-25-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Gibbons,Dustin,M,CU_6807681,215.42,,07-06-18,Structural Engineer,0.0,1.0,1,,,A
Savers,Emmeline ,F,CU_8192131,200.37,55.852,01-27-18,Data Coordiator,,1.0,1,,A,A
Novy,Mae,F,CU_1859719,78.33,59.89,12-19-18,Librarian,,1.0,1,,A,A
Greenweig,Connor ,M,CU_4046984,268.1,40.816,03-24-18,Software Engineer IV,0.0,1.0,1,,A,A
Wallinga,Seymour,M,CU_9453706,119.8,31.408,05-02-18,Safety Technician IV,1.0,1.0,1,,,A
Cabrar,Wojciech ,M,CU_4104330,172.88,58.132,04-02-18,Librarian,0.0,1.0,1,,A,A
Vogeler,Moses ,M,CU_8077452,175.31,64.419,04-02-18,Librarian,0.0,1.0,1,,A,A
Mccullogh,Lacy,M,CU_9027724,124.22,35.685,09-30-18,Software Engineer IV,1.0,1.0,1,,A,A
Bassetti,Ezra,M,CU_1196174,225.5,38.763,07-01-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Gest,Brendan ,M,CU_3031185,168.84,47.983,07-15-18,Software Engineer IV,,1.0,1,,,A
Fventes,Christina,F,CU_5062802,151.36,32.687,11-19-18,Senior Sales Associate,0.0,1.0,1,,,A
Rooker,Darcy ,M,CU_5275796,136.32,,04-04-18,Assistant Manager,,1.0,1,,,A
Seaward,Carlton,M,CU_4636823,122.22,60.623,05-12-18,Software Engineer IV,0.0,1.0,1,,A,A
Flatten,Beverly,F,CU_7790746,254.24,58.291,04-29-18,Data Coordiator,0.0,1.0,1,,A,A
Settle,Jesus,M,CU_4407451,153.38,,09-27-18,Assistant Manager,,1.0,1,,A,A
Tervo,Otis ,M,CU_7798941,788.58,37.162,05-09-18,Software Engineer IV,0.0,1.0,1,,,A
Patt,Anaiya ,F,CU_3432605,129.95,37.048,04-24-18,Software Engineer IV,0.0,1.0,1,,A,A
Barton,Jia ,M,CU_4604063,213.06,58.981,05-20-18,Software Engineer IV,0.0,1.0,1,,,A
Cooksley,Sachin ,M,CU_7733408,175.29,,10-16-18,Statistician III,1.0,1.0,1,,,A
Tsuchiura,Jo,F,CU_5652642,312.51,39.415,10-24-18,,,1.0,1,,A,A
Wrubel,Mollie ,F,CU_5423267,339.6,57.336,02-27-18,Payment Adjustment Coordinator,1.0,,1,,A,A
Defaria,Saim ,M,CU_3440802,130.59,,03-15-18,,1.0,,1,,A,A
Fuemmeler,Niall ,M,CU_3776676,286.04,32.857,12-08-18,Software Engineer IV,0.0,1.0,1,,A,A
Morely,Sebastian ,M,CU_2465958,145.93,32.762,12-03-18,Software Engineer IV,,1.0,1,,A,A
Leve,Elmo,M,CU_6979751,135.74,34.445,04-07-18,Senior Sales Associate,1.0,1.0,1,,,A
Mincey,Wendell,M,CU_3252391,188.95,41.449,10-21-18,Librarian,0.0,1.0,1,,A,A
Flock,Heath,M,CU_3965097,129.94,25.016,05-12-18,Assistant Manager,,,1,,,A
Dominowski,Omar,M,CU_4874410,395.07,65.827,05-09-18,Payment Adjustment Coordinator,1.0,1.0,1,,A,A
Procknow,Whitney,F,CU_2916519,148.1,28.403,10-30-18,Software Engineer IV,0.0,1.0,1,,,A
Rath,Clara ,F,CU_1081515,196.66,62.29,07-29-18,Design Engineer,,,1,,,A
Tinius,Micheal,M,CU_3432626,105.47,49.576,10-04-18,,1.0,1.0,1,,,A
Werstein,George ,M,CU_2441397,118.64,37.646,01-14-18,Assistant Manager,,1.0,1,,,A
Aliberti,Ibrahim ,M,CU_2932923,68.08,28.345,04-04-18,Assistant Manager,,1.0,1,,A,A
Childree,Amari ,M,CU_5800127,158.02,,10-08-18,Software Engineer IV,1.0,1.0,1,,A,A
Montero,Leah,F,CU_5300417,141.08,33.802,04-15-18,Statistician III,,1.0,1,,,A
Lento,Burl,M,CU_9535681,162.64,26.571,08-20-18,Sales Associate,0.0,,1,,A,A
Voisine,Bentley ,M,CU_7618754,336.28,26.776,06-25-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Dugat,Safa ,F,CU_8396997,157.84,,12-05-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Kirklin,Jannat ,F,CU_9978053,182.03,37.504,05-25-18,Senior Sales Associate,,1.0,1,,A,A
Tutwiler,Douglass,M,CU_4358344,133.83,35.387,10-31-18,Design Engineer,,1.0,1,,,A
Bethoney,Nikolas ,M,CU_6127817,167.76,,02-17-18,Software Engineer IV,1.0,1.0,1,,A,A
Abegg,Derick,M,CU_6291661,92.63,38.027,05-23-18,Assistant Manager,0.0,1.0,1,,A,A
Precht,Nora,F,CU_1958094,202.77,57.837,10-03-18,Senior Sales Associate,0.0,1.0,1,,A,A
Boateng,Caden ,M,CU_5013713,484.39,59.084,11-20-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Breckel,Manuela,F,CU_5325018,234.55,89.841,09-10-18,Assistant Manager,0.0,1.0,1,,A,A
Desporte,Sung,M,CU_4776156,114.52,33.138,09-11-18,Software Engineer IV,0.0,1.0,1,,A,A
Phou,Oliver ,M,CU_3236060,300.68,57.965,11-01-18,Assistant Manager,0.0,1.0,1,,A,A
Haza,Zachery,M,CU_3719394,131.6,,02-02-18,Actuary,0.0,1.0,1,,,A
Lero,Brody ,M,CU_8872163,101.59,58.785,03-26-18,Software Engineer IV,,1.0,1,,A,A
Jarrette,Ward,M,CU_3784932,125.56,40.189,11-22-18,Senior Sales Associate,0.0,1.0,1,,A,A
Anzalone,Tyler,M,CU_9330917,158.69,42.475,12-05-18,Assistant Manager,,1.0,1,,A,A
Wisk,Enya ,F,CU_1138915,124.33,36.151,09-01-18,Assistant Manager,0.0,1.0,1,,,A
Torrez,Isobelle ,F,CU_3563750,98.37,76.677,01-20-18,Assistant Manager,0.0,1.0,1,,,A
Rava,Peter ,M,CU_8372452,138.11,61.892,01-02-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Pfeiff,Ava-Mae ,F,CU_2318571,121.32,36.848,07-10-18,Software Engineer IV,0.0,1.0,1,,A,A
Latif,Lola ,F,CU_7700718,175.85,59.269,04-18-18,Software Engineer IV,,1.0,1,,A,A
Krebsbach,Estella,F,CU_3784943,91.7,64.706,06-24-18,Payment Adjustment Coordinator,,1.0,1,,,A
Crafter,Randall,M,CU_8790255,163.72,,07-09-18,,0.0,1.0,1,,A,A
Huerta,Yara ,F,CU_2081009,232.42,59.626,11-21-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Daubs,Kevin ,M,CU_9928946,194.47,32.359,02-15-18,,,,1,,A,A
Mcquillen,Darius,M,CU_5103854,35.58,22.894,12-04-18,Software Engineer IV,,,1,,,A
Melichar,Yolanda,F,CU_8667384,153.63,23.653,01-11-18,Assistant Manager,,,1,,,A
Suen,Beatrix ,F,CU_8290554,213.69,37.589,04-24-18,,,1.0,1,,A,A
Hila,Scarlett ,F,CU_2564347,410.63,46.715,04-20-18,Data Coordiator,0.0,1.0,1,,,A
Kosak,Tad,M,CU_1663228,178.9,28.652,06-10-18,Sales Associate,0.0,1.0,1,,A,A
Hobby,Jenny,F,CU_6381819,222.01,58.372,06-20-18,Actuary,1.0,1.0,1,,A,A
Seals,Aryan ,M,CU_7708926,162.87,40.638,08-11-18,Assistant Manager,0.0,1.0,1,,A,A
Lipstone,Alexandra,F,CU_5955837,155.1,35.468,08-07-18,Design Engineer,,1.0,1,,A,A
Bumbalo,Kay ,F,CU_4620543,135.11,52.348,07-31-18,Software Engineer IV,0.0,1.0,1,,A,A
Yacullo,Pedro,M,CU_1138940,125.04,29.177,05-15-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Shideler,Tuan,M,CU_7930114,46.09,36.145,06-14-18,Design Engineer,,1.0,1,,A,A
Dinnendahl,Stanley,M,CU_1589508,208.45,38.447,09-26-18,Data Coordiator,1.0,1.0,1,,,A
Farias,Haider ,M,CU_1720582,492.78,29.798,11-09-18,Assistant Manager,1.0,1.0,1,,,A
Symmes,Osian ,M,CU_1982727,164.4,48.343,04-19-18,Assistant Manager,,,1,,A,A
Saglimben,Kathy,F,CU_6504713,218.56,59.639,06-20-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Mastronardi,Cooper ,M,CU_7962890,228.95,27.883,05-28-18,Data Coordiator,1.0,1.0,1,,A,A
Narkevicius,Naima ,F,CU_5964042,424.12,37.654,11-06-18,Assistant Manager,0.0,1.0,1,,A,A
Josten,Raphael,M,CU_3236107,111.63,32.146,01-10-18,Computer Systems Analyst II,0.0,1.0,1,,,A
Kincey,Edward,M,CU_1687821,147.15,,12-26-18,Data Coordiator,1.0,1.0,1,,A,A
Elbert,Nicole,F,CU_6938892,291.33,25.129,04-08-18,Data Coordiator,,1.0,1,,A,A
Manaois,Shelia,F,CU_1941777,129.43,51.432,11-01-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Vaupel,Lenard,M,CU_9576725,120.31,25.508,07-17-18,Safety Technician IV,0.0,1.0,1,,A,A
Darrow,Shayne ,M,CU_6308118,271.46,34.649,07-11-18,Computer Systems Analyst II,0.0,1.0,1,,,A
Whitver,Steven ,M,CU_7962903,126.14,24.623,02-21-18,Software Engineer IV,1.0,1.0,1,,,A
Failey,Arun ,M,CU_2892055,207.89,34.455,09-19-18,Software Engineer IV,0.0,1.0,1,,,A
Mifsud,Clinton,M,CU_3686684,171.41,,10-29-18,Software Engineer IV,,1.0,1,,,A
Agni,Russell,M,CU_2048284,66.56,60.936,12-11-18,Assistant Manager,0.0,,1,,,A
Luberger,Aida,F,CU_3146014,174.74,39.585,11-05-18,Software Engineer IV,0.0,1.0,1,,,A
Zwiebel,Victor,M,CU_6816033,223.45,39.653,08-30-18,Design Engineer,,1.0,1,,A,A
Nantwi,Eoin ,M,CU_4464930,435.28,54.211,02-25-18,Statistician III,0.0,1.0,1,,A,A
Seykoski,Kent,M,CU_7315746,92.91,,11-14-18,Software Engineer IV,,1.0,1,,A,A
Traversa,Neil ,M,CU_6381860,86.79,55.808,12-22-18,Assistant Manager,,,1,,A,A
Reuss,Clair,M,CU_4227365,171.02,36.457,03-02-18,Assistant Manager,1.0,1.0,1,,A,A
Ammerman,Carl,M,CU_3490086,120.09,58.293,09-14-18,Senior Sales Associate,0.0,1.0,1,,,A
Bakalar,Deon,M,CU_8642857,98.09,31.0,08-10-18,Senior Sales Associate,0.0,1.0,1,,A,A
Krider,Sandy,F,CU_4432170,135.55,56.651,05-20-18,Data Coordiator,0.0,1.0,1,,A,A
Schleining,Agatha ,F,CU_8503595,214.69,33.543,05-17-18,Assistant Manager,,1.0,1,,A,A
Hove,Scott,M,CU_6979884,167.58,42.441,02-13-18,Assistant Manager,1.0,1.0,1,,A,A
Lortie,Samuel ,M,CU_2195757,186.27,46.093,05-04-18,Data Coordiator,,1.0,1,,A,A
Mauracher,Erick,M,CU_7225645,141.93,33.019,03-12-18,Assistant Manager,1.0,1.0,1,,A,A
Vandervort,Rylee ,M,CU_5644587,122.77,57.541,07-19-18,Statistician III,0.0,1.0,1,,A,A
Haman,Rafferty ,M,CU_3260717,101.14,,08-29-18,,0.0,1.0,1,,A,A
Kattan,Mateusz ,M,CU_7946542,109.73,53.976,12-11-18,Senior Sales Associate,0.0,1.0,1,,,A
Kalka,Carwyn ,M,CU_5636404,228.2,,10-22-18,Assistant Manager,,1.0,1,,,A
Levangie,Magdalena,F,CU_3522869,92.82,58.561,09-25-18,Senior Sales Associate,0.0,1.0,1,,,A
Koehnen,Alisa,F,CU_2146612,164.88,,02-08-18,Software Engineer IV,,1.0,1,,,A
Durst,Edmund ,M,CU_9601334,92.62,63.135,09-26-18,Software Engineer IV,0.0,1.0,1,,,A
Reali,Bradley,M,CU_8380729,65.1,28.218,03-20-18,Assistant Manager,0.0,,1,,A,A
Redepenning,Juan ,M,CU_3391801,107.36,46.635,07-03-18,Assistant Manager,0.0,1.0,1,,,A
Zipkin,Lilly-Ann ,F,CU_6627644,198.03,27.441,03-31-18,Payment Adjustment Coordinator,1.0,1.0,1,,,A
Dearinger,Freda,F,CU_4006205,174.14,59.684,08-19-18,Software Engineer IV,,1.0,1,,A,A
Castleton,Abbie ,F,CU_4014397,114.43,55.299,09-01-18,Design Engineer,,1.0,1,,A,A
Vrba,Oscar,M,CU_8577343,311.87,36.82,09-16-18,Senior Sales Associate,1.0,1.0,1,,A,A
Macpherson,Latonya,F,CU_3236160,191.14,52.776,04-18-18,Assistant Manager,,1.0,1,,,A
Worman,Louie ,M,CU_5595459,149.27,64.884,05-08-18,Data Coordiator,0.0,1.0,1,,A,A
Tarbutton,Berry,M,CU_8069447,98.81,53.837,02-17-18,Statistician III,,1.0,1,,A,A
Macker,Salvador,M,CU_5628233,176.47,57.02,08-18-18,Software Engineer IV,,1.0,1,,A,A
Knori,Abdurrahman ,M,CU_7643466,51.64,72.292,08-17-18,,,1.0,1,,,A
Shrout,Natalia ,F,CU_2097481,102.96,38.668,04-28-18,Software Engineer IV,0.0,1.0,1,,,A
Gobern,Erik,M,CU_3506507,87.51,33.366,10-29-18,Sales Associate,0.0,1.0,1,,A,A
Chuc,Maria,F,CU_2941260,115.42,32.006,07-22-18,Data Coordiator,0.0,1.0,1,,A,A
Destasio,Ronnie,M,CU_1712462,117.55,56.679,04-24-18,Social Worker,,1.0,1,,A,A
Gose,Isidro,M,CU_8667470,168.25,75.773,06-18-18,Senior Sales Associate,,1.0,1,,A,C
Frohwein,Chung,M,CU_6275408,123.44,41.531,10-08-18,Information Systems Manager,1.0,1.0,1,,,A
Scheffler,Mandy,F,CU_1515860,169.16,31.307,04-08-18,Software Engineer IV,0.0,1.0,1,,A,A
Rilling,Diego,M,CU_2859350,232.24,37.648,09-26-18,Design Engineer,,1.0,1,,A,A
Loiacona,Daren,M,CU_4514136,160.18,41.922,05-12-18,Assistant Manager,,1.0,1,,,A
Sipple,Danyal ,M,CU_6152537,259.86,22.743,08-17-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Mincer,Fletcher ,M,CU_2310490,202.81,21.544,04-13-18,Data Coordiator,0.0,1.0,1,,,A
Babst,Stephanie,F,CU_3268955,207.81,50.086,11-02-18,Software Engineer IV,0.0,,1,,A,A
Maycock,Noor ,F,CU_7528800,146.49,56.831,05-03-18,Assistant Manager,,,1,,,A
Hartgerink,Isobel ,F,CU_1122658,92.98,27.425,02-04-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Range,Jayson ,M,CU_8831333,255.26,47.086,03-28-18,Software Engineer IV,0.0,1.0,1,,A,A
Blocker,Leon,M,CU_3735911,133.68,27.112,01-18-18,Software Engineer IV,,1.0,1,,,A
Knoles,Dawson ,M,CU_8470887,129.21,,01-21-18,Data Coordiator,0.0,1.0,1,,A,A
Satiago,Dallas,M,CU_9634151,165.34,42.63,02-14-18,,0.0,1.0,1,,A,A
Tengan,Leonard,M,CU_9585002,147.67,58.532,11-29-18,Information Systems Manager,0.0,,1,,,A
Ohmer,Kirk,M,CU_7070059,160.48,29.334,09-01-18,Librarian,0.0,1.0,1,,A,A
Arelleano,Marguerite,F,CU_3924330,144.24,,12-26-18,Software Engineer IV,,1.0,1,,A,A
Espelien,Keziah ,F,CU_7176557,227.64,35.781,01-07-18,,0.0,1.0,1,,,A
Civitello,Percy ,M,CU_6472045,144.42,26.384,08-09-18,Software Engineer IV,0.0,1.0,1,,A,A
Sinsabaugh,Lesa,F,CU_9478515,198.1,37.401,04-19-18,Software Engineer IV,1.0,1.0,1,,,A
Faler,Kaylee ,F,CU_7168377,133.88,,08-19-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Stelb,Alia ,F,CU_1720699,134.02,52.42,06-15-18,Computer Systems Analyst II,0.0,1.0,1,,A,A
Dark,Sanaa ,F,CU_6504827,235.99,,05-12-18,Assistant Manager,0.0,1.0,1,,A,A
Jesmer,Rosalie ,F,CU_1196415,142.82,,07-24-18,Senior Sales Associate,1.0,1.0,1,,A,A
Stiern,Miguel,M,CU_6635907,171.74,57.816,09-04-18,Assistant Manager,,1.0,1,,,A
Demicco,Carlos,M,CU_9486724,49.67,55.433,01-13-18,Assistant Manager,0.0,1.0,1,,A,A
Muschamp,Joanna,F,CU_8716678,176.68,55.02,11-11-18,Software Engineer IV,0.0,1.0,1,,A,A
Desforges,Maxwell,M,CU_1646983,118.31,31.102,06-15-18,Assistant Manager,0.0,1.0,1,,A,A
Pavloski,Kelly ,F,CU_1073543,219.53,83.786,02-01-18,Librarian,0.0,1.0,1,,A,A
Schmeiser,Kaye,F,CU_7659916,157.47,54.432,09-17-18,Senior Sales Associate,1.0,1.0,1,,,A
Dyess,Coco ,F,CU_6390156,323.71,36.407,11-16-18,Structural Engineer,0.0,1.0,1,,,A
Sanghez,Romeo,M,CU_9118094,184.35,26.115,02-14-18,Software Engineer IV,0.0,1.0,1,,,A
Gager,Mikey ,M,CU_7774605,164.31,34.744,12-14-18,,,1.0,1,,,A
Bologna,Gracie ,F,CU_8495504,272.41,53.274,05-14-18,Software Engineer IV,0.0,1.0,1,,A,A
Mohan,Alfonso,M,CU_8569233,88.65,39.933,04-13-18,Structural Engineer,0.0,1.0,1,,A,A
Harstad,Freddie ,M,CU_5349777,288.75,47.417,12-05-18,Assistant Manager,0.0,1.0,1,,,A
Werley,Muskaan ,F,CU_9003411,42.18,56.634,08-11-18,Data Coordiator,0.0,,1,,A,A
Glendening,Bobbi,F,CU_2679188,122.76,28.941,09-16-18,Assistant Manager,,1.0,1,,,A
Sohl,Branden,M,CU_1515920,123.27,57.596,05-31-18,Safety Technician IV,1.0,,1,,,A
Boege,Alma ,F,CU_4850065,161.46,49.673,01-25-18,Design Engineer,,1.0,1,,A,A
Cratin,Jac ,M,CU_3730340,129.98,56.471,12-15-18,Assistant Manager,,1.0,1,,A,A
Pessin,Huey ,M,CU_6717848,143.65,56.598,07-21-18,Software Engineer IV,0.0,1.0,1,,,A
Iffland,Huey,M,CU_1606033,118.03,51.781,02-23-18,Assistant Manager,0.0,,1,,A,A
Haliburton,Amelia-Rose ,F,CU_1204634,571.63,,01-18-18,Payment Adjustment Coordinator,1.0,1.0,1,,,A
Cerrito,Belinda,F,CU_6119835,297.57,40.743,01-27-18,Librarian,0.0,1.0,1,,A,A
Fassler,Xander ,M,CU_9748892,147.42,35.386,12-21-18,,,1.0,1,,,A
Kozubal,Tiffany,F,CU_3801500,143.56,59.471,12-08-18,Librarian,0.0,1.0,1,,A,A
Schecter,Ehsan ,M,CU_5800347,195.99,50.732,11-05-18,Senior Sales Associate,,1.0,1,,,A
Kolthoff,Edmund,M,CU_9068957,113.64,52.653,01-01-18,Software Engineer IV,,1.0,1,,,A
